start_formatted,mandarin_length,text,pinyin,english
00:17:02:066,17,所以在馬來西亞的內容創作圈子裡面噢,suǒ yǐ zài mǎ lái xī yà de nèi róng chuàng zuò quān zi lǐ miàn ō,So in the content creation circle in Malaysia
00:16:48:365,16,純粹分享我自己的觀點跟自己的意見,chún cuì fēn xiǎng wǒ zì jǐ de guān diǎn gēn zì jǐ de yì jiàn,I am purely sharing my own views and opinions
00:13:15:365,16,所以今年我還是決定會在這邊試一試,suǒ yǐ jīn nián wǒ hái shì jué dìng huì zài zhè biān shì yī shì,So this year I decided to give it a try here
00:01:55:533,16,我到底在這幾個月裡面發生什麼事情,wǒ dào dǐ zài zhè jǐ gè yuè lǐ miàn fā shēng shén me shì qíng,What happened to me in the past few months?
00:17:23:766,16,如果喜歡這支影片的話就給我一個「讚」,rú guǒ xǐ huān zhè zhī yǐng piàn de huà jiù gěi wǒ yī gè 「 zàn 」,"If you like this video, please give me a ""like"""
00:11:37:932,16,管理階層裡面會傳出很大很大的聲音,guǎn lǐ jiē céng lǐ miàn huì chuán chū hěn dà hěn dà de shēng yīn,"There will be loud, loud voices coming from the management"
00:16:32:666,16,從低爬到高的整個過程來的精彩的多,cóng dī pá dào gāo de zhěng gè guò chéng lái de jīng cǎi de duō,The whole process of climbing from low to high is much more exciting.
00:06:05:733,16,就會把自己的頻道搞到非常的商業化,jiù huì bǎ zì jǐ de pín dào gǎo dào fēi cháng de shāng yè huà,He will make his channel very commercialized
00:05:14:033,16,然後自然而然我們的收入也受影響啦,rán hòu zì rán ér rán wǒ men de shōu rù yě shòu yǐng xiǎng la,Then naturally our income is also affected.
00:11:06:500,16,給到你一件很難去完成的事情的時候,gěi dào nǐ yī jiàn hěn nán qù wán chéng de shì qíng de shí hòu,When you are given something difficult to accomplish
00:12:58:566,16,這樣子講可能有一些人會覺得很可笑,zhè yàng zi jiǎng kě néng yǒu yī xiē rén huì jué dé hěn kě xiào,Some people may find it ridiculous to put it this way.
