start_formatted,text,pinyin,english
00:00:45:500,“住”馬來西亞跟“租”新加坡最大的不同哦,“ zhù ” mǎ lái xī yà gēn “ zū ” xīn jiā pō zuì dà de bù tóng ó,The biggest difference between “living” in Malaysia and “renting” in Singapore
00:00:48:232,就是關於,jiù shì guān yú,is about
00:00:49:100,門禁這件事情,mén jìn zhè jiàn shì qíng,The matter of access control
00:00:50:466,這個是我親身經歷的啦,zhè gè shì wǒ qīn shēn jīng lì de la,This is what I have experienced personally
00:00:51:832,所謂的門禁就是,suǒ wèi de mén jìn jiù shì,The so-called access control is
00:00:52:966,到了一定的鐘點噢,dào le yí dìng de zhōng diǎn ō,It's a certain hour
00:00:54:500,他就不給你進去了,tā jiù bù gěi nǐ jìn qù le,He won't let you in
00:00:55:732,他會把那個鎖頭鎖掉,tā huì bǎ nà gè suǒ tóu suǒ diào,He'll take that lock off
00:00:57:200,我記得我第一次租的那間房子啦,wǒ jì dé wǒ dì yī cì zū de nà jiān fáng zi la,I remember the house I rented for the first time
00:00:59:765,那個屋主哦,nà gè wū zhǔ ó,That house owner
00:01:00:533,在每天的晚上11點哦,zài měi tiān de wǎn shàng 11 diǎn ó,At 11 o'clock every night
00:01:02:700,他就會把那個鎖頭鎖掉的,tā jiù huì bǎ nà gè suǒ tóu suǒ diào de,He will take that lock off
00:01:04:033,如果你是超過11點才要回來的話,rú guǒ nǐ shì chāo guò 11 diǎn cái yào huí lái de huà,If you don’t come back until after 11 o’clock
00:01:06:733,一定要跟你的室友溝通好,yí dìng yào gēn nǐ de shì yǒu gōu tōng hǎo,Be sure to communicate well with your roommates
00:01:08:632,叫他11點過後來跟你開門,jiào tā 11 diǎn guò hòu lái gēn nǐ kāi mén,Ask him to open the door for you after 11 o'clock
00:01:10:599,那住在馬來西亞自己的房子呢,nà zhù zài mǎ lái xī yà zì jǐ de fáng zi ne,What about living in your own house in Malaysia?
00:01:12:433,就絕對不會有這樣子的問題啦,jiù jué duì bù huì yǒu zhè yàng zi de wèn tí la,There will never be such a problem
00:01:14:000,那為什麼會有這樣子的問題呢,nà wèi shén me huì yǒu zhè yàng zi de wèn tí ne,Then why is there such a problem?
00:01:15:665,其實哦就是屋主本身,qí shí ó jiù shì wū zhǔ běn shēn,"In fact, it’s the owner himself"
00:01:17:266,他沒有把那個鎖頭的鎖匙給租客,tā méi yǒu bǎ nà gè suǒ tóu de suǒ shi gěi zū kè,He didn't give the key to the lock to the tenant
00:01:19:965,如果是往自己的家里安全去想的話,rú guǒ shì wǎng zì jǐ de jiā lǐ ān quán qù xiǎng de huà,"If you are thinking about the safety of your own home,"
00:01:22:533,這個屋主的做法呢是情有可原啦,zhè gè wū zhǔ de zuò fǎ ne shì qíng yǒu kě yuán la,What this homeowner did is excusable.
00:01:24:865,但是如果住在馬來西亞,dàn shì rú guǒ zhù zài mǎ lái xī yà,But if you live in Malaysia
00:01:26:400,自己的屋子就絕對不會有這樣子的問題,zì jǐ de wū zi jiù jué duì bù huì yǒu zhè yàng zi de wèn tí,Your own house will never have such a problem
00:01:28:200,因為鎖匙全部都是自己拿的,yīn wèi suǒ shi quán bù dōu shì zì jǐ ná de,Because I hold all the keys myself
00:01:31:365,再來呢,zài lái ne,Come again
