student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
14928,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,3,40,0
22293,city_103,0.92,Male,Has relevant experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0
4324,city_103,0.92,Female,No relevant experience,Full time course,Graduate,STEM,5,null,null,1,24,0
26966,city_160,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,>4,82,0
26494,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0
4866,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,Oct-49,Early Stage Startup,2,206,0
12726,city_114,0.926,Male,No relevant experience,Part time course,High School,null,1,10000+,Other,1,152,0
10164,city_114,0.926,Male,Has relevant experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,4,42,1
8612,city_103,0.92,null,No relevant experience,no_enrollment,Graduate,STEM,12,null,null,4,50,0
24659,city_71,0.884,Male,No relevant experience,no_enrollment,null,null,3,null,null,never,106,0
2547,city_114,0.926,Female,Has relevant experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0
13854,city_104,0.924,Male,Has relevant experience,no_enrollment,High School,null,4,Oct-49,Pvt Ltd,2,36,0
31654,city_21,0.624,null,Has relevant experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1
13643,city_64,0.666,null,No relevant experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0
5590,city_21,0.624,Male,Has relevant experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1
22452,city_21,0.624,Female,No relevant experience,Full time course,Masters,STEM,5,null,null,never,26,1
9006,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,never,87,1
25987,city_103,0.92,Other,Has relevant experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1
4476,city_101,0.558,Male,Has relevant experience,no_enrollment,Graduate,No Major,15,null,null,>4,20,1
25103,city_83,0.923,Male,Has relevant experience,no_enrollment,Graduate,STEM,11,Oct-49,Pvt Ltd,1,21,0
5568,city_101,0.558,Male,No relevant experience,no_enrollment,Graduate,STEM,4,null,null,1,92,1
2195,city_64,0.666,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,100-499,Pvt Ltd,2,102,0
30533,city_105,0.794,Male,No relevant experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0
28512,city_104,0.924,null,Has relevant experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0
1023,city_114,0.926,Male,No relevant experience,Full time course,High School,null,4,10000+,Pvt Ltd,1,43,0
12253,city_104,0.924,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Pvt Ltd,1,45,0
25296,city_73,0.754,Male,Has relevant experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0
13238,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,null,null,2,19,0
13478,city_21,0.624,null,Has relevant experience,Full time course,Graduate,STEM,2,Oct-49,Funded Startup,null,32,1
18578,city_162,0.767,Male,Has relevant experience,no_enrollment,Graduate,Humanities,>20,100-499,Pvt Ltd,>4,26,1
29975,city_67,0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,null,null,1,90,0
26516,city_75,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,Pvt Ltd,3,25,0
24690,city_41,0.827,null,Has relevant experience,null,Masters,STEM,13,<10,null,1,15,0
8433,city_100,0.887,Male,Has relevant experience,no_enrollment,Masters,Humanities,>20,100-499,Pvt Ltd,>4,48,0
9572,city_11,0.55,null,No relevant experience,Full time course,High School,null,3,null,null,null,98,0
5878,city_93,0.865,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1
25695,city_67,0.855,Other,No relevant experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0
9645,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,null,null,>4,47,0
12730,city_16,0.91,Female,Has relevant experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0
4830,city_90,0.698,null,No relevant experience,null,null,null,2,null,Pvt Ltd,never,228,1
20970,city_64,0.666,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,null,null,4,22,0
17271,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,<1,null,null,never,18,1
12731,city_13,0.827,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,Oct-49,Pvt Ltd,1,29,0
10908,city_67,0.855,Male,Has relevant experience,no_enrollment,Masters,STEM,5,100-499,null,1,46,0
29117,city_11,0.55,null,No relevant experience,Full time course,Graduate,STEM,<1,null,null,never,12,0
3686,city_103,0.92,null,Has relevant experience,no_enrollment,Graduate,STEM,5,100-499,Pvt Ltd,2,17,0
22683,city_36,0.893,Male,Has relevant experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0
22134,city_103,0.92,Male,No relevant experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,35,0
31765,city_67,0.855,Male,No relevant experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0
31449,city_103,0.92,Female,Has relevant experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0
5987,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0
21762,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0
22070,city_103,0.92,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,null,null,1,136,0
25413,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,Oct-49,null,1,27,0
5902,city_20,0.796,null,Has relevant experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0
28403,city_71,0.884,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,Oct-49,Early Stage Startup,1,86,0
30937,city_57,0.866,Female,No relevant experience,Part time course,Graduate,STEM,<1,Oct-49,Pvt Ltd,2,83,0
28751,city_103,0.92,null,No relevant experience,Full time course,High School,null,4,null,null,3,75,0
29290,city_152,0.698,Male,No relevant experience,Full time course,Masters,STEM,11,null,Public Sector,2,42,0
32401,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,null,1,332,0
19128,city_61,0.913,Male,No relevant experience,Full time course,Graduate,STEM,4,null,null,null,140,0
29036,city_16,0.91,Male,No relevant experience,no_enrollment,High School,null,3,null,null,never,182,0
16869,city_103,0.92,Female,No relevant experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,13,1
10497,city_19,0.682,null,Has relevant experience,no_enrollment,Graduate,STEM,5,Oct-49,Pvt Ltd,2,172,1
18099,city_103,0.92,null,Has relevant experience,no_enrollment,Graduate,STEM,10,100-499,NGO,1,48,0
12081,city_65,0.802,Male,Has relevant experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0
7364,city_160,0.92,null,No relevant experience,Full time course,High School,null,2,100-499,Pvt Ltd,1,142,0
11184,city_74,0.579,null,No relevant experience,Full time course,Graduate,STEM,2,100-499,Pvt Ltd,1,34,0
7016,city_65,0.802,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1
8695,city_11,0.55,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,Oct-49,Pvt Ltd,2,27,1
6172,city_11,0.55,Male,Has relevant experience,no_enrollment,Graduate,STEM,8,100-499,Pvt Ltd,1,24,1
14672,city_173,0.878,null,No relevant experience,no_enrollment,Masters,STEM,>20,null,null,1,150,0
18257,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0
24493,city_103,0.92,null,Has relevant experience,no_enrollment,Graduate,STEM,5,500-999,null,1,140,0
1180,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0
28627,city_75,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0
8168,city_136,0.897,Male,Has relevant experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0
10473,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1
25349,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0
5220,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,Other,>20,null,null,4,46,0
4789,city_67,0.855,Male,Has relevant experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0
11338,city_114,0.926,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0
27963,city_98,0.949,Male,No relevant experience,Full time course,Graduate,STEM,4,null,null,1,160,1
8571,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,2,Oct-49,NGO,2,101,0
16303,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,6,50-99,null,1,46,0
20576,city_97,0.925,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0
32966,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,3,100-499,Pvt Ltd,2,26,1
21199,city_90,0.698,null,Has relevant experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0
18819,city_50,0.896,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0
14199,city_160,0.92,Male,Has relevant experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0
7666,city_21,0.624,Female,Has relevant experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0
13915,city_16,0.91,Male,Has relevant experience,no_enrollment,Phd,STEM,>20,100-499,Pvt Ltd,2,20,1
10555,city_173,0.878,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,100-499,Pvt Ltd,2,8,0
16040,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,Pvt Ltd,1,131,0
32826,city_138,0.836,Male,Has relevant experience,Full time course,Masters,STEM,7,null,null,1,45,0
13253,city_82,0.693,Male,Has relevant experience,Full time course,Graduate,STEM,11,Oct-49,Pvt Ltd,2,109,0
15637,city_67,0.855,Male,Has relevant experience,no_enrollment,Graduate,Humanities,3,100-499,Pvt Ltd,1,70,0
28074,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,NGO,>4,17,0
23012,city_103,0.92,Female,No relevant experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0
16110,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1
3921,city_36,0.893,null,No relevant experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0
24530,city_114,0.926,Male,No relevant experience,no_enrollment,Graduate,STEM,12,100-499,Pvt Ltd,>4,7,0
1924,city_102,0.804,null,Has relevant experience,no_enrollment,Masters,STEM,>20,100-499,Pvt Ltd,3,164,0
32776,city_64,0.666,Male,Has relevant experience,no_enrollment,Graduate,STEM,20,null,null,4,290,0
1907,city_102,0.804,Male,No relevant experience,no_enrollment,High School,null,2,<10,NGO,never,145,0
23947,city_103,0.92,null,No relevant experience,no_enrollment,Phd,STEM,null,null,null,null,70,0
3116,city_21,0.624,Male,No relevant experience,no_enrollment,null,null,3,null,null,1,24,0
24829,city_103,0.92,Male,No relevant experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1
30488,city_11,0.55,null,No relevant experience,Full time course,Graduate,STEM,2,null,null,1,20,0
1265,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0
22098,city_90,0.698,Female,No relevant experience,Full time course,Masters,STEM,5,null,null,4,21,1
13342,city_21,0.624,Female,Has relevant experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0
24608,city_160,0.92,Male,No relevant experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0
20081,city_57,0.866,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,null,null,>4,156,0
24796,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0
7777,city_114,0.926,null,Has relevant experience,no_enrollment,Masters,STEM,>20,null,null,never,120,0
22718,city_157,0.769,null,Has relevant experience,no_enrollment,Graduate,No Major,14,10000+,null,>4,47,0
1261,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,null,null,2,100,1
3396,city_67,0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0
4283,city_103,0.92,Male,No relevant experience,no_enrollment,High School,null,4,null,null,never,52,0
18998,city_114,0.926,null,Has relevant experience,no_enrollment,High School,null,9,Oct-49,null,4,39,0
2003,city_103,0.92,Male,Has relevant experience,Full time course,High School,null,4,null,null,1,112,1
31786,city_103,0.92,Male,No relevant experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0
8241,city_16,0.91,null,Has relevant experience,no_enrollment,null,null,11,null,null,1,4,0
12154,city_16,0.91,null,Has relevant experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0
23455,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1
19882,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,null,null,>4,72,0
28817,city_89,0.925,Male,Has relevant experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1
4656,city_114,0.926,Male,No relevant experience,no_enrollment,High School,null,6,null,Pvt Ltd,never,28,0
7280,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0
16903,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0
13333,city_75,0.939,null,Has relevant experience,no_enrollment,Graduate,STEM,>20,null,null,never,326,0
26241,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Other,>20,100-499,Pvt Ltd,2,33,0
12381,city_102,0.804,null,No relevant experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0
4064,city_160,0.92,null,Has relevant experience,no_enrollment,Graduate,STEM,18,null,null,1,198,1
32092,city_103,0.92,Female,Has relevant experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0
3766,city_150,0.698,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0
30496,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Arts,>20,100-499,Pvt Ltd,>4,11,0
7189,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0
29497,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1
31593,city_67,0.855,Male,Has relevant experience,no_enrollment,Masters,STEM,10,100-499,Pvt Ltd,4,114,0
12384,city_70,0.698,null,Has relevant experience,null,null,null,>20,null,null,>4,33,0
11986,city_90,0.698,Male,Has relevant experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0
31033,city_16,0.91,null,No relevant experience,Full time course,High School,null,3,null,null,1,8,0
14835,city_173,0.878,Female,Has relevant experience,Part time course,High School,null,2,100-499,NGO,1,22,0
3728,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0
3024,city_98,0.949,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0
23508,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,9,Oct-49,Pvt Ltd,1,22,0
29457,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0
12297,city_175,0.776,null,Has relevant experience,Full time course,Graduate,STEM,4,Oct-49,Funded Startup,1,11,0
27708,city_94,0.698,Male,No relevant experience,Full time course,Graduate,STEM,5,5000-9999,null,null,24,1
3065,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Funded Startup,1,50,0
29226,city_104,0.924,Male,No relevant experience,Full time course,High School,null,6,null,null,never,15,0
5493,city_28,0.939,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,Oct-49,Pvt Ltd,>4,31,0
2891,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0
32509,city_136,0.897,Male,Has relevant experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0
31841,city_21,0.624,null,Has relevant experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,>4,105,1
907,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0
29526,city_115,0.789,Male,Has relevant experience,no_enrollment,Graduate,STEM,14,Oct-49,Pvt Ltd,>4,42,1
10956,city_94,0.698,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0
26099,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0
26163,city_21,0.624,Male,No relevant experience,Full time course,Masters,STEM,2,null,null,never,8,0
4120,city_16,0.91,Male,No relevant experience,Full time course,Masters,STEM,13,null,null,3,17,1
7335,city_83,0.923,Male,No relevant experience,no_enrollment,High School,null,1,null,null,1,33,0
706,city_16,0.91,Male,Has relevant experience,no_enrollment,Masters,STEM,4,100-499,Funded Startup,never,38,0
9890,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0
32683,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0
27104,city_36,0.893,Male,Has relevant experience,no_enrollment,High School,null,>20,null,null,never,87,0
7731,city_65,0.802,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,null,null,never,84,0
31943,city_71,0.884,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-499,Early Stage Startup,2,32,0
22899,city_100,0.887,null,Has relevant experience,no_enrollment,Masters,STEM,9,100-499,Pvt Ltd,1,31,1
33339,city_21,0.624,Male,No relevant experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0
20866,city_59,0.775,null,Has relevant experience,no_enrollment,Graduate,STEM,7,Oct-49,Pvt Ltd,1,12,0
21634,city_21,0.624,null,Has relevant experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0
29529,city_165,0.903,Male,Has relevant experience,no_enrollment,Graduate,STEM,3,100-499,Pvt Ltd,1,55,1
4478,city_11,0.55,null,Has relevant experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,null,7,1
32095,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0
18272,city_160,0.92,null,Has relevant experience,Full time course,Graduate,Business Degree,>20,null,null,>4,90,1
30098,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,Other,>20,100-499,Pvt Ltd,>4,8,0
23825,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,2,null,null,never,102,0
7672,city_21,0.624,null,Has relevant experience,no_enrollment,Masters,STEM,<1,Oct-49,Pvt Ltd,1,202,1
5633,city_145,0.555,null,Has relevant experience,no_enrollment,Graduate,STEM,4,100-499,Pvt Ltd,1,22,0
30695,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,3,null,Pvt Ltd,never,42,0
5573,city_160,0.92,null,No relevant experience,no_enrollment,Primary School,null,4,null,Pvt Ltd,never,50,0
24936,city_21,0.624,Male,Has relevant experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0
397,city_73,0.754,null,Has relevant experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0
31602,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0
5278,city_21,0.624,Male,No relevant experience,no_enrollment,null,null,3,null,Pvt Ltd,never,218,0
16814,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0
19249,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0
9475,city_28,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0
4865,city_114,0.926,Male,No relevant experience,Part time course,Phd,STEM,>20,50-99,null,>4,10,0
20881,city_28,0.939,Male,Has relevant experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0
21563,city_21,0.624,null,Has relevant experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0
25114,city_102,0.804,null,No relevant experience,null,Masters,STEM,6,Oct-49,Pvt Ltd,1,17,0
26002,city_16,0.91,Male,No relevant experience,Full time course,Graduate,STEM,2,null,null,never,80,1
8528,city_160,0.92,Male,Has relevant experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0
6141,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,100-499,Pvt Ltd,2,45,0
27667,city_103,0.92,Male,No relevant experience,Full time course,Graduate,STEM,5,null,null,never,77,0
2821,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,15,100-499,Pvt Ltd,2,8,0
21216,city_173,0.878,null,No relevant experience,no_enrollment,Graduate,STEM,5,null,null,1,28,0
25495,city_142,0.727,Female,Has relevant experience,no_enrollment,Graduate,STEM,9,100-499,Funded Startup,>4,37,0
20791,city_16,0.91,null,No relevant experience,Full time course,Graduate,STEM,2,null,null,2,108,1
28015,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0
10685,city_73,0.754,null,Has relevant experience,Full time course,High School,null,9,null,null,>4,41,0
405,city_165,0.903,Male,Has relevant experience,no_enrollment,Masters,STEM,19,100-499,Pvt Ltd,4,4,0
13891,city_71,0.884,Female,No relevant experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,0
33050,city_165,0.903,null,Has relevant experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,0
399,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0
8202,city_21,0.624,null,Has relevant experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,1
8751,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-499,Public Sector,1,11,0
20744,city_103,0.92,Male,No relevant experience,Full time course,High School,null,3,10000+,Pvt Ltd,1,30,0
25380,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,13,100-499,null,>4,39,0
24617,city_102,0.804,Male,Has relevant experience,Full time course,High School,null,9,null,null,1,16,0
12509,city_114,0.926,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,0
25473,city_26,0.698,Male,No relevant experience,Full time course,High School,null,8,null,null,never,39,0
13083,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,0
12454,city_21,0.624,null,Has relevant experience,Full time course,Masters,STEM,4,50-99,NGO,2,210,0
3500,city_103,0.92,Other,No relevant experience,Part time course,High School,null,6,50-99,Funded Startup,1,54,0
15922,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44,0
6685,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,null,null,>4,47,0
28838,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74,0
24082,city_21,0.624,Male,Has relevant experience,no_enrollment,Masters,STEM,6,Oct-49,Pvt Ltd,1,8,1
